id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,operator,phone,opening_hours,dispensing,address
02-00078,أدوية,Pharmacie,أدوية,02,0232,Ain Merane,36.160445,0.970947,exact,osm_node,osm,"{""osm"":""node/5420970421""}",,0772195198,,,
02-00079,Pharmacie Bouchakour khaled,Pharmacie Bouchakour khaled,أدوية,02,0232,Ain Merane,36.16199,0.96982,exact,osm_node,osm,"{""osm"":""node/5420970521""}",,,,true,
02-00080,أدوية,Chouib sanaa,أدوية,02,0232,Ain Merane,36.163024,0.98138,exact,osm_node,osm,"{""osm"":""node/5420970522""}",,,,,
02-00081,,,,02,0232,Ain Merane,36.161922,0.966911,exact,osm_node,osm,"{""osm"":""node/5423743328""}",,,,,
02-00082,,,,02,0231,Bouzeghaia,36.322476,1.13603,exact,osm_node,osm,"{""osm"":""node/5424313825""}",,,,,
02-00083,,,,02,0232,Ain Merane,36.161898,0.966731,exact,osm_node,osm,"{""osm"":""node/5424361524""}",,027 42 98 97,,,
02-00084,,,,02,0212,Boukadir,36.056267,1.121135,exact,osm_node,osm,"{""osm"":""node/5424365922""}",,,,,
02-00085,,,,02,0201,Chlef,36.13531,1.298538,exact,osm_node,osm,"{""osm"":""node/5424384921""}",,,,,
02-00086,,,,02,0201,Chlef,36.147033,1.313404,exact,osm_node,osm,"{""osm"":""node/5424384923""}",,,,,
02-00087,,,,02,0223,El Marsa,36.406851,0.918169,exact,osm_node,osm,"{""osm"":""node/5427647024""}",,,,,
02-00088,,,,02,0210,Ouled Fares,36.230843,1.233109,exact,osm_node,osm,"{""osm"":""node/5428421323""}",,,,,أولاد فارس
02-00089,,,,02,0210,Ouled Fares,36.232444,1.237192,exact,osm_node,osm,"{""osm"":""node/5428430721""}",,,,,أولاد فارس
02-00090,,,,02,0232,Ain Merane,36.158915,0.964885,exact,osm_node,osm,"{""osm"":""node/5428453221""}",,,,,
02-00091,,,,02,0217,Dahra,36.255688,0.850247,exact,osm_node,osm,"{""osm"":""node/5428581521""}",,,,,
02-00092,Adda Mohamed,Adda Mohamed,,02,0221,Oued Sly,36.097241,1.2251,exact,osm_node,osm,"{""osm"":""node/5555201625""}",,,,,
02-00093,Tahmi ismail,Tahmi ismail,,02,0201,Chlef,36.161366,1.317388,exact,osm_node,osm,"{""osm"":""node/5555214721""}",,,,,
02-00094,Tsabet mosaab,Tsabet mosaab,,02,0210,Ouled Fares,36.214502,1.277052,exact,osm_node,osm,"{""osm"":""node/5555223821""}",,,,,
02-00095,الهادي,MERBOUH Elhadi,الهادي,02,0212,Boukadir,36.062423,1.119929,exact,osm_node,osm,"{""osm"":""node/5556240132""}",cnas-casnos-militaire,027740709,Mo-Su 08:00-22:00,,Rue N°04 Boukadir
02-00096,عبد الكريم,Saber Abdelkrim,عبد الكريم,02,0212,Boukadir,36.063289,1.122303,exact,osm_node,osm,"{""osm"":""node/5556254734""}",,,Mo-Su 08:00-22:00,,Rue national N° 04 : 06 Boukadir
02-00097,Khalfi ahmed,Khalfi ahmed,,02,0212,Boukadir,36.067376,1.130212,exact,osm_node,osm,"{""osm"":""node/5556277740""}",,,,,
02-00098,سارة,Daoudd sara,سارة,02,0212,Boukadir,36.056029,1.121113,exact,osm_node,osm,"{""osm"":""node/5558883222""}",cnas-casnos,,,,hay ben dacha el merainia boukadir
02-00099,Djilali Berkene Kaddour,Djilali Berkene Kaddour,بركان قدور,02,0212,Boukadir,36.064253,1.124874,exact,osm_node,osm,"{""osm"":""node/5602709721""}",,,,,
02-00100,,,,02,0206,Taougrit,36.24632,0.922641,exact,osm_node,osm,"{""osm"":""node/5774236553""}",,,,,
02-00101,,,,02,0206,Taougrit,36.244515,0.92191,exact,osm_node,osm,"{""osm"":""node/5774236653""}",,,,,
02-00102,شعبان فايزة,BENCHAABANE Faiza,شعبان فايزة,02,0206,Taougrit,36.248785,0.924394,exact,osm_node,osm,"{""osm"":""node/6601156985""}",,,,,
02-00103,عبد الرحمان,MELLOUK Abderrahmane,عبد الرحمان,02,0215,Herenfa,36.249043,1.049271,exact,osm_node,osm,"{""osm"":""node/6601162585""}",,,,,
02-00104,عبد الرحمان,HANIFI Abderrahmane,عبد الرحمان,02,0222,Abou El Hassane,36.416813,1.194707,exact,osm_node,osm,"{""osm"":""node/6601166085""}",,,,,
02-00105,ڨ شبرة,FELLAG CHABRA ELDJILALI,ڨ شبرة الجيلالي,02,0220,Zeboudja,36.351702,1.428566,exact,osm_node,osm,"{""osm"":""node/6601176785""}",,,,,
02-00106,BOUZID R,BOUZID R,,02,0211,Sidi Akkacha,36.478332,1.31618,exact,osm_node,osm,"{""osm"":""node/8583898118""}",,,,,
02-00107,El Houari,El Houari,,02,0202,Tenes,36.514805,1.313965,exact,osm_node,osm,"{""osm"":""node/8583898119""}",,,,,
02-00108,Abdellah F,Abdellah F,,02,0202,Tenes,36.503385,1.280906,exact,osm_node,osm,"{""osm"":""node/8583898219""}",,,,,
02-00109,BOUTHELDJA KH,BOUTHELDJA KH,,02,0218,Ouled Abbes,36.176476,1.491476,exact,osm_node,osm,"{""osm"":""node/8583898222""}",,,,,
02-00110,Bouziane Aek,Bouziane Aek,,02,0233,Oum Drou,36.198618,1.388269,exact,osm_node,osm,"{""osm"":""node/8583898223""}",,,,,
02-00111,Katrane,Katrane,,02,0202,Tenes,36.508477,1.302931,exact,osm_node,osm,"{""osm"":""node/8583898317""}",,,,,
02-00112,Amamra Z,Amamra Z,,02,0202,Tenes,36.502576,1.278678,exact,osm_node,osm,"{""osm"":""node/8583898417""}",,,,,
02-00113,BENGRIBA F,BENGRIBA F,,02,0218,Ouled Abbes,36.174363,1.492461,exact,osm_node,osm,"{""osm"":""node/8583898818""}",,,,,
02-00114,Mouri,Mouri,,02,0202,Tenes,36.507936,1.305409,exact,osm_node,osm,"{""osm"":""node/8592092317""}",,,,,
02-00115,Ali faudil n,Ali faudil n,,02,0224,Chettia,36.185517,1.251989,exact,osm_node,osm,"{""osm"":""node/8592092917""}",,,,,
02-00116,Tarfaoui m,Tarfaoui m,,02,0224,Chettia,36.193262,1.250485,exact,osm_node,osm,"{""osm"":""node/8593424917""}",,,,,
02-00117,Tarfaoui N,Tarfaoui N,,02,0224,Chettia,36.189754,1.249999,exact,osm_node,osm,"{""osm"":""node/8593425017""}",,,,,
02-00118,Khalil h,Khalil h,,02,0224,Chettia,36.19359,1.252338,exact,osm_node,osm,"{""osm"":""node/8593425018""}",,,,,
02-00119,Bachir lazaar dj,Bachir lazaar dj,,02,0212,Boukadir,36.066619,1.124116,exact,osm_node,osm,"{""osm"":""node/8595468217""}",,,,,
02-00120,Saidi M.A,Saidi M.A,,02,0222,Abou El Hassane,36.337005,1.239886,exact,osm_node,osm,"{""osm"":""node/8596154717""}",,,,,
02-00121,CHABANE F,CHABANE F,,02,0212,Boukadir,36.067327,1.112492,exact,osm_node,osm,"{""osm"":""node/8596774618""}",,,,,
02-00122,Lakouas w,Lakouas w,,02,0210,Ouled Fares,36.202111,1.252541,exact,osm_node,osm,"{""osm"":""node/8603064617""}",,,,,
02-00123,ABADNI Fadhila,ABADNI Fadhila,,02,0201,Chlef,36.16788,1.337333,exact,osm_node,osm,"{""osm"":""node/8617693917""}",,,,,
02-00124,FELLAG ARIOUAT S,FELLAG ARIOUAT S,,02,0201,Chlef,36.134877,1.356299,exact,osm_node,osm,"{""osm"":""node/8623131717""}",,,,,
02-00125,Djadaouadji M,Djadaouadji M,,02,0232,Ain Merane,36.160553,0.968453,exact,osm_node,osm,"{""osm"":""node/8623192017""}",,,,,
02-00126,BENZEGANE,BENZEGANE,,02,0232,Ain Merane,36.162007,0.970328,exact,osm_node,osm,"{""osm"":""node/8625851818""}",,,,,
02-00127,Baadani S,Baadani S,,02,0227,El Hadjadj,36.061106,1.401952,exact,osm_node,osm,"{""osm"":""node/8631946717""}",,,,,
02-00128,NADOUR B,NADOUR B,,02,0224,Chettia,36.191801,1.249498,exact,osm_node,osm,"{""osm"":""node/8632395317""}",,,,,
02-00129,Bouguerra,Bouguerra,,02,0224,Chettia,36.134748,1.28593,exact,osm_node,osm,"{""osm"":""node/8632532918""}",,,,,
02-00130,TIAB M,TIAB M,,02,0229,Oued Fodda,36.186234,1.534228,exact,osm_node,osm,"{""osm"":""node/8640258020""}",,,,,
