id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,sector,supervisory_ministry,website
00045,Université de Tamenghasset,جامعة تامنغست,11,,Tamanrasset,22.8057761,5.5060445,exact,campus,mesrs,universite,Université,public,,https://univ-tam.dz/fr/
00046,Université de Tébessa – Larbi Tébessi,جامعة تبسة – العربي التبسي,12,,Tebessa,35.4243876,8.0760054,exact,campus,mesrs,universite,Université,public,,http://www.univ-tebessa.dz/
00047,Université de Tiaret – Ibn Khaldoun,جامعة بن خلدون تيارت,14,,Tiaret,35.3542264,1.3147695,exact,campus,mesrs,universite,Université,public,,http://www.univ-tiaret.dz/
00048,Université de Tindouf-Ali Kafi,جامعة بتندوف – المجاهد علي كافي,37,,,27.67528,-8.12861,approximate,wilaya,mesrs,universite,Université,public,,http://www.cuniv-tindouf.dz/
00049,université de Tipaza – Abdallah Morsli,جامعة تيبازة – عبد الله مرسلي,42,,Tipaza,36.5900041,2.4492364,exact,campus,mesrs,universite,Université,public,,https://ar.cu-tipaza.dz/
00050,Université de Tissemsilt,,38,,,35.60778,1.81111,approximate,wilaya,mesrs,universite,Université,public,,http://www.cuniv-tissemsilt.dz/
00051,Université de Tizi Ouzou – Mouloud Maameri,جامعة تيزي وزو – مولود معمري,15,,Tizi-Ouzou,36.6978991,4.0577472,exact,campus,mesrs,universite,Université,public,,http://www.ummto.dz/
00052,Université de Tlemcen – Abou Bekr Belkaid,جامعة أبو بكر بلقايد تلمسان,13,,Mansourah,34.895279,-1.350444,exact,campus,mesrs,universite,Université,public,,http://www.univ-tlemcen.dz/
00053,"Université des sciences et de la technologie d’Alger, Houari Boumediène",جامعة الجزائر هواري بومدين للعلوم و التكنولوجيا,16,,Bab Ezzouar,36.7121849,3.1810204,exact,campus,mesrs,universite,Université,public,,http://www.usthb.dz/
00054,Université des sciences islamiques Emir Abdelkader de Constantine,جامعة قسنطينة للعلوم الإسلامية الأمير عبد القادر,25,,,36.35,6.6,approximate,wilaya,mesrs,universite,Université,public,,http://www.univ-emir.dz/
00055,Université du 20 Août 1955 de Skikda,جامعة سكيكدة – 20 أوت 1955,21,,,36.86667,6.9,approximate,wilaya,mesrs,universite,Université,public,,http://www.univ-skikda.dz/
00056,Université Médéa – Yahia Farès,جامعة المدية – يحي فارس,26,,Medea,36.2649519,2.7976246,exact,campus,mesrs,universite,Université,public,,http://www.univ-medea.dz/
00057,Université Mohamed Boudiaf des sciences et de la technologie – Mohamed Boudiaf,جامعة محمد بوضياف العلوم والتكنولوجيا- وهران,31,,Bir El Djir,35.7368,-0.545,approximate,commune,mesrs,universite,Université,public,,http://www.univ-usto.dz/
