id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,line,operator,network
22-027,Benhammouda,Benhammouda,بن حمودة,22,2201,Sidi Bel-Abbes,35.217429,-0.621097,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684339"",""osm"":""node/9064774900""}",tram,,SETRAM,Sidi Bel Abbès
22-028,El wiam,El wiam,الوئام,22,2201,Sidi Bel-Abbes,35.211395,-0.627956,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684340"",""osm"":""node/9064774753""}",tram,,SETRAM,Sidi Bel Abbès
22-029,Centre Niama,Centre Niama,مركز النعمة,22,2201,Sidi Bel-Abbes,35.216891,-0.638536,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684341"",""osm"":""node/9064774858""}",tram,,SETRAM,Sidi Bel Abbès
22-030,Campus,Campus,,22,2201,Sidi Bel-Abbes,35.221774,-0.637453,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684342"",""osm"":""node/9064774843""}",tram,,SETRAM,Sidi Bel Abbès
22-031,Cascade,Cascade,,22,2201,Sidi Bel-Abbes,35.209034,-0.61628,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684343"",""osm"":""node/9064774717""}",tram,,SETRAM,Sidi Bel Abbès
22-032,Gare ferroviaire,Gare ferroviaire,محطة السكك الحديدية,22,2201,Sidi Bel-Abbes,35.227557,-0.626936,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684344"",""osm"":""node/9064774828""}",tram,,SETRAM,Sidi Bel Abbès
22-033,Gare routière Nord,Gare routière Nord,محطة النقل البرية شمال,22,2201,Sidi Bel-Abbes,35.223129,-0.629479,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684345"",""osm"":""node/9064774803""}",tram,,SETRAM,Sidi Bel Abbès
22-034,La Daïra,La Daïra,عزوز,22,2201,Sidi Bel-Abbes,35.205977,-0.626467,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684346"",""osm"":""node/9064774738""}",tram,,SETRAM,Sidi Bel Abbès
22-035,Jardin,Jardin,الحديقة,22,2201,Sidi Bel-Abbes,35.188306,-0.643878,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684347"",""osm"":""node/9064774938""}",tram,,SETRAM,Sidi Bel Abbès
22-036,4 Horloges,4 Horloges,,22,2201,Sidi Bel-Abbes,35.190695,-0.634532,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684348"",""osm"":""node/9064774951""}",tram,,SETRAM,Sidi Bel Abbès
22-037,Station Maternité,Station Maternité,سيدي ياسين,22,2201,Sidi Bel-Abbes,35.192507,-0.619179,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684349"",""osm"":""node/9064774975""}",tram,,SETRAM,Sidi Bel Abbès
22-038,Prince Abdelkader,Prince Abdelkader,الأمير عبد القادر,22,2201,Sidi Bel-Abbes,35.191202,-0.630144,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684350"",""osm"":""node/9064774959""}",tram,,SETRAM,Sidi Bel Abbès
