id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
mobilis-118b86bbf9,BETHIOUA,31,,BETHIOUA,بطيوة,35.804191,-0.27701,exact,operator_map,mobilis,mobilis,5G,
mobilis-11c8820abd,ORAN,31,,ORAN,وهران,35.699201,-0.64941,exact,operator_map,mobilis,mobilis,5G,
mobilis-11dc250627,BIR EL DJIR,31,,BIR EL DJIR,بئر الجير,35.721711,-0.54694,exact,operator_map,mobilis,mobilis,5G,
mobilis-12134c3c31,DOUERA,16,,DOUERA,الدويرة,36.664731,2.949211,exact,operator_map,mobilis,mobilis,5G,
mobilis-121d41fc13,MECHRIA,45,,MECHRIA,المشرية,33.539651,-0.289884,exact,operator_map,mobilis,mobilis,5G,
mobilis-12272557e9,ORAN,31,,ORAN,وهران,35.723181,-0.59097,exact,operator_map,mobilis,mobilis,5G,
mobilis-1239412c8d,SIDI ALI,27,,SIDI ALI,سيدي علي,36.104221,0.42524,exact,operator_map,mobilis,mobilis,5G,
mobilis-137cad163e,TLEMCEN,13,,TLEMCEN,تلمسان,34.917661,-1.31781,exact,operator_map,mobilis,mobilis,5G,
mobilis-1387cf66f4,AZZABA,21,,AZZABA,عزابة,36.744511,7.12978,exact,operator_map,mobilis,mobilis,5G,
mobilis-13aa383560,MOSTAGANEM,27,,MOSTAGANEM,مستغانم,35.922331,0.07409,exact,operator_map,mobilis,mobilis,5G,
mobilis-13b079403c,SIDI BEL ABBES,22,,SIDI BEL ABBES,سيدي بلعباس,35.203361,-0.63172,exact,operator_map,mobilis,mobilis,5G,
mobilis-13c0e245d7,SAIDA,20,,SAIDA,سعيدة,34.846921,0.15719,exact,operator_map,mobilis,mobilis,5G,
mobilis-13c4c727e2,DJELFA,17,,DJELFA,الجلفة,34.673371,3.27871,exact,operator_map,mobilis,mobilis,5G,
mobilis-13e77198a6,BARAKI,16,,BARAKI,براقي,36.654621,3.08856,exact,operator_map,mobilis,mobilis,5G,
mobilis-13efb50908,TISSEMSILT,38,,TISSEMSILT,تيسمسيلت,35.593951,1.806118,exact,operator_map,mobilis,mobilis,5G,
mobilis-14122ec192,ROUIBA,16,,ROUIBA,الرويبة,36.741911,3.28514,exact,operator_map,mobilis,mobilis,5G,
mobilis-1414d192c9,EL BAYADH,32,,EL BAYADH,البيض,33.686151,1.02035,exact,operator_map,mobilis,mobilis,5G,
mobilis-14e3fab008,GHARDAIA,47,,GHARDAIA,غرداية,32.497151,3.688,exact,operator_map,mobilis,mobilis,5G,
mobilis-1535808861,MOSTAGANEM,27,,MOSTAGANEM,مستغانم,35.926771,0.08521,exact,operator_map,mobilis,mobilis,5G,
mobilis-1545c26977,TIARET,14,,TIARET,تيارت,35.330981,1.309251,exact,operator_map,mobilis,mobilis,5G,
mobilis-154b09cc52,CHERAGA,16,,CHERAGA,الشراقة,36.772281,2.93689,exact,operator_map,mobilis,mobilis,5G,
mobilis-155f6c82b9,MISSERGHIN,31,,MISSERGHIN,مسرغين,35.629261,-0.70033,exact,operator_map,mobilis,mobilis,5G,
