id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
djezzy-e72010173e,Baraki Djaafar Cherif,16,,,,36.66726,3.09592,exact,operator_map,djezzy,djezzy,5G,BARAKI
djezzy-e74ccceaa4,Chateau rouge les Eucalyptus,16,,,,36.671632,3.142321,exact,operator_map,djezzy,djezzy,5G,LES EUCALYPTUS
djezzy-e7a3522405,Lotissement  Katti,16,,,,36.7338,2.8804,exact,operator_map,djezzy,djezzy,5G,STAOUELI
djezzy-e867e1c21d,cité la Montagne 2,16,,,,36.71365,3.11688,exact,operator_map,djezzy,djezzy,5G,BOUROUBA
djezzy-e8be8c00db,Oued Remane,16,,,,36.73995,2.9998,exact,operator_map,djezzy,djezzy,5G,EL ACHOUR
djezzy-e8f0276c9a,HASSI MESSAOUD INDUSTRIAL NORTH,30,,,,31.7299,6.04275,exact,operator_map,djezzy,djezzy,5G,HASSI MESSAOUD
djezzy-e929d58276,Hotel Saphir,16,,,,36.77652,3.0598,exact,operator_map,djezzy,djezzy,5G,Alger
djezzy-e952e6ac73,Hai Sokra,30,,,,31.93256,5.33309,exact,operator_map,djezzy,djezzy,5G,ROUISSAT
djezzy-e97c38f61f,Coop Amel Birkhadem,16,,,,36.70114,3.06231,exact,operator_map,djezzy,djezzy,5G,DJISR KSENTINA
djezzy-e9bf2202fb,Bab Ezzouar 2,16,,,,36.718,3.175,exact,operator_map,djezzy,djezzy,5G,BEB EZZOUAR
djezzy-e9fcc9e654,marchi Dubai,16,,,,36.71615,3.17571,exact,operator_map,djezzy,djezzy,5G,BEB EZZOUAR
djezzy-eaa01c4ed6,Cooperative Saada,16,,,,36.6959,3.07617,exact,operator_map,djezzy,djezzy,5G,DJISR KSENTINA
djezzy-eac310ec8c,Cooperatif  el amel,16,,,,36.74403,3.33892,exact,operator_map,djezzy,djezzy,5G,REGHAIA
djezzy-eae5b2f2a6,Bouinane 2,09,,,,36.533,3.0122,exact,operator_map,djezzy,djezzy,5G,BOUINAN
