id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,status,postal_code,postal_code_old,address
10652,TASSALA,43,,TESSALA LEMTAI,تسالة لمطاعي,36.569897,5.9846445,exact,baridimap,baridimap,1,43034,,
10653,EL AFFROUNE 2,09,,EL AFFROUN,العفرون,36.4686091,2.6194668,exact,baridimap,baridimap,1,09076,,
10655,BOUIRA RP NV SIEGE 2,10,,BOUIRA,البويرة,36.3750339,3.8925918,exact,baridimap,baridimap,1,10000,,
10656,TAMANRASSET RP 2,11,,TAMANRASSET,تامنغست,22.791083,5.5263917,exact,baridimap,baridimap,1,11000,,
10657,ASSOUROU,11,,TAMANRASSET,تامنغست,22.7884516,5.5406664,exact,baridimap,baridimap,1,11009,,
10658,IN KOUF,11,,TAMANRASSET,تامنغست,22.7780096,5.5469567,exact,baridimap,baridimap,1,11002,,
10659,HADJ MOUSSA,11,,TAMANRASSET,تامنغست,22.8055852,5.5051645,exact,baridimap,baridimap,1,11027,,
1066,KOUBA RP,16,,KOUBA,القبة,36.7322794,3.0876466,exact,baridimap,baridimap,1,16006,,
10660,CENTRE VILLE,11,,TAMANRASSET,تامنغست,22.7887519,5.5271817,exact,baridimap,baridimap,1,11025,,
1067,KOUBA RP INDOOR,16,,KOUBA,القبة,36.7322388,3.0879457,exact,baridimap,baridimap,1,16006,,
1068,KOUBA RP 2,16,,KOUBA,القبة,36.7322674,3.087593,exact,baridimap,baridimap,1,16006,,
1069,ASSIHAR,11,,TAMANRASSET,تامنغست,22.7846414,5.5217255,exact,baridimap,baridimap,1,11008,,
1070,IN AMGUEL,11,,IN AMGUEL,عين أمقل,23.6908833,5.1487517,exact,baridimap,baridimap,1,11003,,
1072,INGHAR,53,,IN GHAR,إين غار,27.10746,1.9028033,exact,baridimap,baridimap,1,53004,11004,
1073,SERSOUF,11,,TAMANRASSET,تامنغست,22.79848,5.5290698,exact,baridimap,baridimap,1,11006,,
1074,TAZROUK,11,,TAZROUK,تازروق,23.4167734,6.2684308,exact,baridimap,baridimap,1,11010,,
1075,TAMERASSET RP,11,,TAMANRASSET,تامنغست,22.7911595,5.5262771,exact,baridimap,baridimap,1,11000,,
1076,TAMERASSET RP INDOOR,11,,TAMANRASSET,تامنغست,22.7908121,5.525974,exact,baridimap,baridimap,1,11000,,
1081,BAB EL OUED2,16,,BAB EL OUED,باب الوادي,36.7923181,3.0520286,exact,baridimap,baridimap,1,16008,,
10835,GARE ROUTIERRE,11,,TAMANRASSET,تامنغست,22.8179896,5.4894785,exact,baridimap,baridimap,1,11026,,
10836,IDLES,11,,IDLES,أدلس,23.8209419,5.9346256,exact,baridimap,baridimap,1,11020,,
10837,IN GUEZZAM 1ER NOVEMBRE,54,,IN GUEZZAM,عين قزام,19.578155,5.7662358,exact,baridimap,baridimap,1,54040,11040,
10839,BRAKNI ALI BEN YOUNES,12,,TEBESSA,تبسة,35.3944386,8.11092,exact,baridimap,baridimap,1,12061,,
10840,BEKKARIA,12,,BEKKARIA,بكارية,35.3765368,8.2406233,exact,baridimap,baridimap,1,12019,,
10844,KARMAN,14,,TIARET,تيارت,35.3860176,1.370054,exact,baridimap,baridimap,1,14021,,
10845,HAMADIA HIDHAB,14,,HAMADIA,الحمادية,35.4586485,1.8731476,exact,baridimap,baridimap,1,14074,,
10846,MELLAKOU,14,,MELLAKOU,ملاكو,35.2551922,1.2338402,exact,baridimap,baridimap,1,14025,,
