id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,code,address,address_ar
41-001,Agence Commerciale Sedrata,الوكالة التجارية سدراتة,41,,,36.128131713506995,7.5329508394843865,exact,mobilis,mobilis,agence,12231,"Boulevard 01 Novembre 1954 (ex centre des impôts), sedrata, Souk Ahras","نهج 01 نوفمبر ( قباضة الضرائب سابقا)، سدراتة, سوق أهراس"
41-002,Agence Commerciale Souk Ahras,الوكالة التجارية سوق أهراس,41,,,36.2830195188529,7.959143168324295,exact,mobilis,mobilis,agence,12232,"Rue Cherit Lazhar N°46 Lot 72,Souk Ahras","شارع شريات لزهر رقم 46 قطعة 72, سوق أهراس"
42-001,Agence Commerciale Cherchell,الوكالة التجارية شرشال,42,,,36.606504,2.19069,exact,mobilis,mobilis,agence,12210,"Croisement Rue les Fréres Sadoun et Rue Ghezal mouloud, N° 22 Lot 47, Cherchell, Tipaza","تقاطع شارع الاخوة سعدون و شارع غزال مولود، رقم 22 تشكل 47 ملكية رقم 67، شرشال, تيبازة"
42-002,Agence Commerciale El Hadjout,الوكالة التجارية حجوط,42,,,36.512435,2.418168,exact,mobilis,mobilis,agence,12211,"Rue 01 Novembre N° 17, Hadjout, Tipaza","شارع أول نوفمبر، رقم 17. حجوط, تيبازة."
42-003,Agence Commerciale Koléa,الوكالة التجارية القليعة,42,,,36.63936517437876,2.7680312220965906,exact,mobilis,mobilis,agence,12212,"N° 13 Place Kifari El Hadi, Koléa, Tipaza","13حي كيفاري الهادي القليعة, تيبازة."
42-004,Agence Commerciale Tipaza,الوكالة التجارية تيبازة,42,,,36.591906,2.448389,exact,mobilis,mobilis,agence,12213,"Rue du 1er Novembre, Tipaza","شارع أول نوفمبر, تيبازة"
43-001,Agence Commerciale Chelghoum El Aid,الوكالة التجارية شلغوم العيد,43,,,36.1596595129198,6.163279909855098,exact,mobilis,mobilis,agence,12282,"N° 06 Rue 01 Novembre 1954 , Chelghoum El Aid, Mila.","رقم 06 شارع أول نوفمبر 1954, شلغوم العيد, ميلة."
43-002,Agence Commerciale Mila,الوكالة التجارية ميلة,43,,,36.45120340581473,6.264475752676238,exact,mobilis,mobilis,agence,12283,"Rue Bentoubal Said, Mila",شارع بن طوبال السعيد، ميلة
43-003,Agence Commerciale Tadjenanet,الوكالة التجارية تجنانت,43,,,36.122049,5.985358,exact,mobilis,mobilis,agence,12284,"Cite khatat Ahmed, Tadjnanet, Mila","حي خطاط أحمد, تجنانت, ميلة"
44-001,Agence Commerciale Ain Defla,الوكالة التجارية عين الدفلة,44,,,36.25853759802945,1.9569643110439854,exact,mobilis,mobilis,agence,12250,"Quartier En Nadjem,Ain Defla","حي النجم, عين الدفلى"
44-002,Agence Commerciale Khemis Meliana,الوكالة التجارية خميس مليانة,44,,,36.26024720486125,2.217789071547358,exact,mobilis,mobilis,agence,12251,"Rue Ghida Ben Youcef ,Khemis Mliana, Ain Defla",شارع غيدة بن يوسف، خميس مليانة.عين الدفلى
