id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,osm_type,osm_id,operator_ids,line_ids,wilaya_method,roles,highway,public_transport
osm-node-10035232521,GR ETUS,,,19,,,36.185469,5.39172,exact,osm_node,osm,"{""osm"":""node/10035232521""}",node,10035232521,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232522,Samu ETUS,Samu ETUS,,19,,,36.1816,5.398522,exact,osm_node,osm,"{""osm"":""node/10035232522""}",node,10035232522,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232531,,,,19,,,36.193685,5.410559,exact,osm_node,osm,"{""osm"":""node/10035232531""}",node,10035232531,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232532,Parc bus stop,,,19,,,36.193687,5.410466,exact,osm_node,osm,"{""osm"":""node/10035232532""}",node,10035232532,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035232541,Laararsa 1 bus stop,,,19,,,36.200557,5.412153,exact,osm_node,osm,"{""osm"":""node/10035232541""}",node,10035232541,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035232544,Laararsa 2 bus stop,,,19,,,36.201208,5.415406,exact,osm_node,osm,"{""osm"":""node/10035232544""}",node,10035232544,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035232545,500 Logs 1,,,19,,,36.201735,5.417777,exact,osm_node,osm,"{""osm"":""node/10035232545""}",node,10035232545,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232546,500 Logs 2,,,19,,,36.202154,5.421622,exact,osm_node,osm,"{""osm"":""node/10035232546""}",node,10035232546,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232547,Chadli 1,,,19,,,36.202037,5.42381,exact,osm_node,osm,"{""osm"":""node/10035232547""}",node,10035232547,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232556,Hidhab 2 bus platform,,,19,,,36.205942,5.435672,exact,osm_node,osm,"{""osm"":""node/10035232556""}",node,10035232556,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232557,Hidhab 3 bus platform,,,19,,,36.20668,5.436905,exact,osm_node,osm,"{""osm"":""node/10035232557""}",node,10035232557,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232559,Hidhab 4 bus platform,,,19,,,36.20827,5.438308,exact,osm_node,osm,"{""osm"":""node/10035232559""}",node,10035232559,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232567,GR ETUS,,,19,,,36.185405,5.39169,exact,osm_node,osm,"{""osm"":""node/10035232567""}",node,10035232567,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform_exit_only""]",bus_stop,platform
osm-node-10035232568,Samu ETUS,Samu ETUS,,19,,,36.181586,5.398728,exact,osm_node,osm,"{""osm"":""node/10035232568""}",node,10035232568,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232570,Malizia ETUS,,,19,,,36.18308,5.404597,exact,osm_node,osm,"{""osm"":""node/10035232570""}",node,10035232570,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232571,Guessab ETUS,,,19,,,36.186844,5.409617,exact,osm_node,osm,"{""osm"":""node/10035232571""}",node,10035232571,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232572,,,,19,,,36.193672,5.410254,exact,osm_node,osm,"{""osm"":""node/10035232572""}",node,10035232572,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232573,CPA,,,19,,,36.195553,5.41063,exact,osm_node,osm,"{""osm"":""node/10035232573""}",node,10035232573,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232574,600 Logs,,,19,,,36.199492,5.411245,exact,osm_node,osm,"{""osm"":""node/10035232574""}",node,10035232574,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232582,Hidhab 2 bus platform,,,19,,,36.205819,5.435719,exact,osm_node,osm,"{""osm"":""node/10035232582""}",node,10035232582,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232583,Hidhab 3 bus platform,,,19,,,36.20659,5.437109,exact,osm_node,osm,"{""osm"":""node/10035232583""}",node,10035232583,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035232587,University of Setif Bus Platform,Plateforme de bus de l'Université de Sétif,,19,,,36.213732,5.444931,exact,osm_node,osm,"{""osm"":""node/10035232587""}",node,10035232587,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252917,Parc bus stop,,,19,,,36.193691,5.41035,exact,osm_node,osm,"{""osm"":""node/10035252917""}",node,10035252917,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252918,CPA,,,19,,,36.195557,5.410881,exact,osm_node,osm,"{""osm"":""node/10035252918""}",node,10035252918,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252919,CPA bus stop,,,19,,,36.195564,5.410848,exact,osm_node,osm,"{""osm"":""node/10035252919""}",node,10035252919,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252920,600 Logs,,,19,,,36.199532,5.411089,exact,osm_node,osm,"{""osm"":""node/10035252920""}",node,10035252920,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252921,600 Logs bus stop,,,19,,,36.199526,5.411105,exact,osm_node,osm,"{""osm"":""node/10035252921""}",node,10035252921,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252922,CPA bus stop,,,19,,,36.199498,5.411225,exact,osm_node,osm,"{""osm"":""node/10035252922""}",node,10035252922,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252923,Laararsa 1,,,19,,,36.200683,5.412133,exact,osm_node,osm,"{""osm"":""node/10035252923""}",node,10035252923,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252924,Laararsa 1 bus stop,,,19,,,36.200659,5.412129,exact,osm_node,osm,"{""osm"":""node/10035252924""}",node,10035252924,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252926,Laararsa 2,,,19,,,36.201337,5.415427,exact,osm_node,osm,"{""osm"":""node/10035252926""}",node,10035252926,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252932,Chadli 1 bus stop,,,19,,,36.202051,5.423807,exact,osm_node,osm,"{""osm"":""node/10035252932""}",node,10035252932,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252933,Chadli 1 bus stop,,,19,,,36.202134,5.423809,exact,osm_node,osm,"{""osm"":""node/10035252933""}",node,10035252933,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252934,Chadli 2 bus platform,,,19,,,36.202864,5.427595,exact,osm_node,osm,"{""osm"":""node/10035252934""}",node,10035252934,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252935,Chadli 2 bus stop,,,19,,,36.202887,5.427569,exact,osm_node,osm,"{""osm"":""node/10035252935""}",node,10035252935,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
