id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,type_label_fr,type_label_ar,has_virtual_tour,url,slug
02-bcp-12,Rempart ouest de la ville d'Orléansville (actuelle Chlef),Rempart ouest de la ville d'Orléansville (actuelle Chlef),سور الغربي لمدينة اوريونفيل ( الشلف حاليا),02,0201,Chlef,36.162289,1.325816,exact,source_point,patrimoine,"{""patrimoine"":""1031""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1031,rempart-ouest-de-la-ville-d-orleansville-actuelle-chlef
02-bcp-13,Remparts défensifs de Ténès,Remparts défensifs de Ténès,السور الدفاعي لمدينة تنس,02,0202,Tenes,36.508215,1.310302,exact,source_point,patrimoine,"{""patrimoine"":""965""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/965,remparts-defensifs-de-tenes
02-bcp-14,Site d'El Azm,Site d'El Azm,موقع العزم,02,0202,Tenes,36.512662,1.310356,exact,source_point,patrimoine,"{""patrimoine"":""951""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/951,site-d-el-azm
02-cinema-01,Salle de cinéma El Djedida - Ténès,Salle de cinéma El Djedida - Ténès,قاعة سينما الجديدة –تنس,02,0202,Tenes,36.510365,1.306264,exact,source_point,patrimoine,"{""patrimoine"":""1030""}",cinema,establishment,Salle de cinéma,قاعة سينما,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1030,salle-de-cinema-el-djedida-tenes
02-ecole-01,Institut de musique El Hachemi Guerouabi,Institut de musique El Hachemi Guerouabi,معهد الموسيقى الهاشمي قروابي,02,0201,Chlef,36.1664,1.337966,exact,source_point,patrimoine,"{""patrimoine"":""1029""}",arts-school,establishment,École d'art,مدرسة الفنون,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1029,institut-de-musique-el-hachemi-guerouabi
02-library-01,Annexe de la bibliothèque de lecture publique de Chettia – martyr El Arbi Aïssa Djeloul,Annexe de la bibliothèque de lecture publique de Chettia – martyr El Arbi Aïssa Djeloul,ملحقة مكتبة المطالعة العمومية بالشطية – الشهيد العربي عيسى جلول,02,0210,Ouled Fares,36.207436,1.246206,exact,source_point,patrimoine,"{""patrimoine"":""1025""}",library,heritage,Bibliothèque,مكتبة,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1025,annexe-de-la-bibliotheque-de-lecture-publique-de-chettia-martyr-el-arbi-aissa-djeloul
02-library-02,"Annexe de la bibliothèque de lecture publique de Chorfa, Chlef – martyr Habibi Abed","Annexe de la bibliothèque de lecture publique de Chorfa, Chlef – martyr Habibi Abed",ملحقة مكتبة المطالعة العمومية بالشرفة الشلف– الشهيد حبيبي عابد,02,0201,Chlef,36.14912,1.305361,exact,source_point,patrimoine,"{""patrimoine"":""993""}",library,heritage,Bibliothèque,مكتبة,false,https://cartes.patrimoineculturelalgerien.org/ar/node/993,annexe-de-la-bibliotheque-de-lecture-publique-de-chorfa-chlef-martyr-habibi-abed
02-library-03,Bibliothèque Principale de Lecture Publique - Chlef,Bibliothèque Principale de Lecture Publique - Chlef,المكتبة الرئيسية للمطالعة العمومية –محمد مهدي,02,0201,Chlef,36.162529,1.327682,exact,source_point,patrimoine,"{""patrimoine"":""992""}",library,heritage,Bibliothèque,مكتبة,false,https://cartes.patrimoineculturelalgerien.org/fr/node/84,bibliotheque-principale-de-lecture-publique-chlef
02-library-04,Bibliothèque rurale de Si El Oulid – martyr Boubekeur Abdelkader,Bibliothèque rurale de Si El Oulid – martyr Boubekeur Abdelkader,مكتبة ريفية سي الوليد- الشهيد بوبكر عبد القادر,02,0222,Abou El Hassane,36.420891,1.240608,exact,source_point,patrimoine,"{""patrimoine"":""1026""}",library,heritage,Bibliothèque,مكتبة,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1026,bibliotheque-rurale-de-si-el-oulid-martyr-boubekeur-abdelkader
02-library-05,Bibliothèque rurale de Sidi Ziane – Tadjena – martyr Fouka Seddik,Bibliothèque rurale de Sidi Ziane – Tadjena – martyr Fouka Seddik,مكتبة ريفية سيدي زيان -تاجنة - الشهيد فوقة صديق,02,0231,Bouzeghaia,36.317399,1.146427,exact,source_point,patrimoine,"{""patrimoine"":""1027""}",library,heritage,Bibliothèque,مكتبة,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1027,bibliotheque-rurale-de-sidi-ziane-tadjena-martyr-fouka-seddik
