id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,operator,address,sources
163001,Agence de Bordj El Kiffan,16,,Bordj El Kiffan,36.74863150288901,3.20052947265849,exact,carrier_relay,guepex,yalidine,"Rue 1er Novembre 26 Cité Mimouni N:04, Bordj El Kiffan, Alger","[""guepex"",""yalidine""]"
163302,Agence Les Eucalyptus,16,,Les Eucalyptus,36.66711648843321,3.1427310694191215,exact,carrier_relay,guepex,zimou-express,"Rue Les Eucalyptus, N°56, Palais Rouge, Les Eucalyptus, Alger","[""guepex"",""yalidine""]"
163401,Agence de Birtouta,16,,Birtouta,36.645369231973724,3.0043017206575358,exact,carrier_relay,guepex,guepex,"06 Rue El Moudjahid Hamida Mouhamed (à Côté de Super Marquet Saadi), Birtouta, Alger","[""guepex"",""yalidine""]"
163901,Agence Bordj El Bahri (Café Chergui),16,,Bordj El Bahri,36.780248835053634,3.249505410050749,exact,carrier_relay,guepex,yalidine,"Groupe de Propriété N°3065, Section 02, Rez-de-chaussée, Commune de Bordj El Bahri, Wilaya d'Alger","[""guepex"",""yalidine""]"
164201,Agence de Rouïba,16,,Rouïba,36.73755329601874,3.280255195985044,exact,carrier_relay,guepex,zimou-express,"Rue Hassiba Ben Bouali (Chemin Polyclinique), Rouïba, Alger","[""guepex"",""yalidine""]"
164301,Agence de DNC (Reghaïa),16,,Reghaïa,36.74734575091702,3.3423594000001984,exact,carrier_relay,guepex,yalidine,"Cité El Ouancharis, DNC, Route de Ain Taya (En face Société Générale), Reghaïa, Alger","[""guepex"",""yalidine""]"
164401,Agence de Aïn Benian,16,,Aïn Benian,36.80041848415821,2.9025755690190453,exact,carrier_relay,guepex,guepex,"19 Route Al-Jamilah, Division Kargon, Aïn Benian, Alger","[""guepex"",""yalidine""]"
164601,Agence de Zeralda,16,,Zeralda,36.71270234813457,2.8343161757238713,exact,carrier_relay,guepex,guepex,"Local Commercial RDC, Cité Yesswel Kouider N°01, Zeralda, Alger","[""guepex"",""yalidine""]"
164701,Agence de Sidi Abdellah,16,,Mahelma,36.689675206551044,2.8608359999999995,exact,carrier_relay,guepex,zimou-express,"Cité 1400 local C6 Bt C6 Sidi Abdallah, Alger","[""guepex"",""yalidine""]"
165001,Agence Dar Diaf,16,,Cheraga,36.76825125970716,2.964346070388397,exact,carrier_relay,guepex,yalidine,"Dar Diaf (à Côté De La Supérette Sedda), Cheraga, Alger","[""guepex"",""yalidine""]"
165002,HUB Cheraga (Plateau),16,,Cheraga,36.77458263742349,2.954507842328247,exact,carrier_relay,guepex,yalidine,"10, Rue Aïn Benian Partie: 192 C2, Cheraga, Alger","[""guepex"",""yalidine""]"
165101,Agence de Ouled Fayet,16,,Ouled Fayet,36.731778405827896,2.9569217546192674,exact,carrier_relay,guepex,guepex,"19 Route du Stade Communal, Ouled Fayet, Alger","[""guepex"",""yalidine""]"
165301,Agence de Draria,16,,Draria,36.72112076655928,2.9899307253169414,exact,carrier_relay,guepex,guepex,"Cité Darbush 145, Habitation 400, Bâtiment 2, Draria, Alger","[""guepex"",""yalidine""]"
170501,Agence de Aïn Oussara,65,,Aïn Oussara,35.44999644877334,2.9044317099914543,exact,carrier_relay,guepex,yalidine,"Cité Mohamed Boudiaf (Rue en face la BNA, à coté de douche Rebhi), Ain Oussara, Djelfa","[""guepex"",""yalidine""]"
171401,Agence de Djelfa,17,,Djelfa,34.6810443367391,3.277842246383707,exact,carrier_relay,guepex,yalidine,"Cité Boutrifis, Route de Boussaâda, Lotissement 137 N 06 Immeuble Djouaf Ameur, Djelfa","[""guepex"",""yalidine""]"
180101,Agence de Jijel,18,,Jijel,36.82170292619886,5.758994169977939,exact,carrier_relay,guepex,yalidine,Village Mustapha RDC ROUTE SOUMMAM N°24,"[""guepex"",""yalidine""]"
180102,Agence de Jijel Bourmel,18,,Jijel,36.81386408918035,5.742336097583295,exact,carrier_relay,yalidine,easyandspeed,Lotissement Bourmel Jijel,"[""yalidine""]"
180501,Agence de Taher,18,,Taher,36.77014887982159,5.8945063102513835,exact,carrier_relay,guepex,guepex,"Immeuble Des Bailleurs, Section 58, Groupement De Propriete N°111, Quartier Zemouch","[""guepex"",""yalidine""]"
180901,Agence de El Milia,18,,El Milia,36.74812705604037,6.27440627114814,exact,carrier_relay,guepex,guepex,Rue Boulakirba Zidane,"[""guepex"",""yalidine""]"
181401,Agence Kaous (Jijel),18,,Kaous,36.77631535560025,5.8116844576712765,exact,carrier_relay,guepex,yalidine,"Cité Amoura Messouad N°02 Commune Kaous,Jijel","[""guepex"",""yalidine""]"
190202,Agence Aïn Arnat,19,,Aïn Arnat,36.19147228980431,5.329148996421013,exact,carrier_relay,yalidine,easyandspeed,"Quartier 400 logements, commune d’Aïn Arnat, site n°01, acte n°12, immeuble n°10, daïra d’Aïn Arnat, wilaya de Sétif","[""yalidine""]"
190701,Agence de Aïn Oulmene,19,,Aïn Oulmene,35.92853421113711,5.29630369691054,exact,carrier_relay,guepex,guepex,"Subdivision 264, lot — zone urbaine, Aïn Oulmène.","[""guepex"",""yalidine""]"
192601,Agence de Bougaa,19,,Bougaa,36.33332614477243,5.0910191674128775,exact,carrier_relay,guepex,guepex,"Rue Mohamed Chinoune, Bougaa, Sétif","[""guepex"",""yalidine""]"
193202,Desk El Eulma,19,,El Eulma,36.15225059777369,5.695548728857927,exact,carrier_relay,guepex,yalidine,"Rue Abdelaziz Khaled, N°119 (à Côté du Hôtel El Bez), Eulma, Sétif","[""guepex"",""yalidine""]"
193203,Agence El Eulma (Cité Sonatrach Smara S),19,,El Eulma,36.15150000000002,5.667,exact,carrier_relay,guepex,easyandspeed,"Smara Sud, Section 14, Bloc N° 82+, Logement Participatif N° 06, El Eulma, Sétif","[""guepex"",""yalidine""]"
194901,Agence de Sétif Tinar,19,,Ouled Sabor,36.17157923395763,5.499381416584906,exact,carrier_relay,guepex,zimou-express,"Cité 600 logts Tinar,cité N°04,Bt N°19,local N°17","[""guepex""]"
195501,Agence Maabouda,19,,Sétif,36.18965846309601,5.391857886372733,exact,carrier_relay,guepex,yalidine,"Cite D'Al-Ma'Bouda, Escalier 1 Du Batiment B Section 203 Groupe 77 Parcelle 5","[""guepex"",""yalidine""]"
195502,Agence El Hidhab,19,,Sétif,36.21033727296476,5.445401329161286,exact,carrier_relay,guepex,guepex,"Cité El Hidhab, 110 Logements Participatifs, Bâtiment B, Classe 71","[""guepex"",""yalidine""]"
195504,Agence Centre Ville,19,,Sétif,36.188733083758066,5.414652623367429,exact,carrier_relay,yalidine,guepex,"Cité des Frères Mezouache, Section 240, Ilot 67, Rez-de-chaussée, Commune de Sétif","[""yalidine""]"
195505,Agence Sétif (1014 Logement),19,,Sétif,36.19528768347021,5.434247999999999,exact,carrier_relay,yalidine,yalidine,"373 شارع مركاش عبد الحميد اولاد ابراهم (التعاونية العقارية مالك ابن نبي) قسم 180 مجموع الملكية رقم 21, سطيف","[""yalidine""]"
195506,Agence de Tinar (Sétif),19,,Sétif,36.17110866093928,5.499059271164125,exact,carrier_relay,yalidine,yalidine,حي 600 مسكن تينار سيت 04 عم 19 يحمل 17 سطيف,"[""yalidine""]"
201101,Agence de Saïda,20,,Saïda,34.84330195332345,0.15648539493396532,exact,carrier_relay,guepex,yalidine,cité Riadh (à coté de la mosquée Riadh),"[""guepex"",""yalidine""]"
20701,Agence BOUKADIR,02,,Boukadir,36.06282900000001,1.120954542328247,exact,carrier_relay,yalidine,guepex,"Quartier ouest , rue des frères Ben Daoudia , section 82 grp de Propriéte n°105- BOUKADIR","[""yalidine""]"
210501,Agence de Azzaba,21,,Azzaba,36.73820784300283,7.103309891478236,exact,carrier_relay,guepex,guepex,"Enseigne Cite Za'Af Rabeh, Azzaba, Skikda","[""guepex"",""yalidine""]"
21101,Agence de Chlef,02,,Chlef,36.170713,1.334965,exact,carrier_relay,guepex,yalidine,route national N4 Chlef,"[""guepex"",""yalidine""]"
21102,Agence de Chlef,02,,Chlef,36.16073470034724,1.3307245621473522,exact,carrier_relay,guepex,guepex,"Cité Cherifi Kadour, 113","[""guepex"",""yalidine""]"
21103,Agence Hay El Nasr,02,,Chlef,36.15265428128475,1.3612961909921888,exact,carrier_relay,yalidine,zimou-express,"Agence Zimou Express, Hay El Nasr, Ouled Mohmed-Zone 04 (A coté de l'arrêt de bus)","[""yalidine""]"
211401,Agence de Collo,21,,Collo,37.00947083691242,6.56541830758666,exact,carrier_relay,guepex,guepex,"Boulevard Ruwaibah Taher, Collo, Skikda","[""guepex"",""yalidine""]"
211801,Agence de El Harrouch,21,,El Harrouch,36.652696909280046,6.842743529091004,exact,carrier_relay,guepex,guepex,"Cite 24 Logements Sociaux Covalent Sonatiba, El Harrouch, Skikda","[""guepex"",""yalidine""]"
212201,Agence Filfila,21,,Filfila,36.900991594853664,7.050328233410561,exact,carrier_relay,yalidine,yalidine,Cité KHAZOUZ Tahar 32 N16 Rez de chaussé,"[""yalidine""]"
213501,Centre de tri et Agence Messiouen (Skikda),21,,Skikda,36.85877780359665,6.8959575386774015,exact,carrier_relay,yalidine,yalidine,"30 logement Bt 02 Rue de Chaussée, Skikda","[""yalidine""]"
213502,Nouvelle Agence Skikda L'espérance,21,,Skikda,36.873354511972565,6.904929615263629,exact,carrier_relay,guepex,yalidine,"Rue El Reboua El Djamila, Partie N°01 Rez-de-chaussée, Skikda","[""guepex"",""yalidine""]"
213503,Agence de Faubourg (Skikda),21,,Skikda,36.86915957909143,6.907464813490152,exact,carrier_relay,guepex,guepex,"Rue Bachir BOUKADOUM BT: 06 local N°1, Faubroug, Skikda","[""guepex"",""yalidine""]"
213601,Agence Tamalous,21,,Tamalous,36.8376805589239,6.644938996450436,exact,carrier_relay,yalidine,yalidine,"Raf Souk Villa 03 N°04, Tamalous, Skikda","[""yalidine""]"
223601,Agence Sidi Bel Abbès,22,,Sidi Bel Abbes,35.18434154452605,-0.6141983368596451,exact,carrier_relay,guepex,yalidine,"Rue Mascara, (à Coté de l'hôtel Beni Talla), Sidi Bel Abbès","[""guepex"",""yalidine""]"
223602,Agence Benhamouda (Sidi Bel Abbès),22,,Sidi Bel Abbes,35.22229568347109,-0.6257365146791259,exact,carrier_relay,guepex,guepex,"Benhamouda, (Monté Sogral avant la mosquée El Safaa), Sidi Bel Abbès","[""guepex"",""yalidine""]"
230101,Agence de Valmascort,23,,Annaba,36.917000917596404,7.7527438280073016,exact,carrier_relay,guepex,yalidine,Avenue Seddik Benyahia Résidence * Fadi el Djamal *,"[""guepex"",""yalidine""]"
