id,name,status,postal_code,postal_code_old,address,commune_fr,commune_ar,wilaya_code,wilaya_fr,wilaya_ar,lat,lng
15004,HADJ MECHERI,1,03038,,,HADJ MECHERI,حاج مشري,03,LAGHOUAT,الاغواط,33.9583672,1.6023409
10603,EL HOUITA,1,03040,,,EL HOUITA,الحويطة,03,LAGHOUAT,الاغواط,33.6435232,2.4411858
15457,OUED M'ZI,1,03041,,,OUED M'ZI,واد مزي,03,LAGHOUAT,الاغواط,33.92041,2.4359383
10568,AFLOU ZAOUI SAID,1,03047,,,AFLOU,أفلو,03,LAGHOUAT,الاغواط,34.1115281,2.1069926
2296,LAGHOUAT EL WIAM,1,03052,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.7876121,2.8424411
10567,AFLOU 1ER MAI,1,03053,,,AFLOU,أفلو,03,LAGHOUAT,الاغواط,34.1142625,2.0931946
15109,LAGHOUAT DHALAA,1,03056,,,LAGHOUAT,الأغواط,03,LAGHOUAT,الاغواط,33.8074903,2.8861592
10611,EL HADJEB,1,03057,,,TADJEMOUT,تاجموت,03,LAGHOUAT,الاغواط,33.943721,2.6206516
15040,GUELTAT SIDI SAAD EST,1,03059,,,GUELTAT SIDI SAAD,قتلة سيدي سعيد,03,LAGHOUAT,الاغواط,34.295186,1.9537785
15018,KSAR EL HIRANE CHOUCHA MOHAMED,1,03063,,,KSAR EL HIRANE,قصر الحيران,03,LAGHOUAT,الاغواط,33.7844741,3.1307791
1620,OUM EL BOUAGHI RP INDOOR,1,04000,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.8764785,7.1173073
1621,OUM EL BOUAGHI RP,1,04000,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.8688951,7.1096911
1553,AIN EL BEIDA,1,04001,,,AIN BEIDA,عين البيضاء,04,OUM EL BOUAGHI,أم البواقي,35.8763433,7.1172567
1623,AIN MLILA,1,04002,,,AIN M'LILA,عين مليلة,04,OUM EL BOUAGHI,أم البواقي,36.0412153,6.5735513
1622,AIN MLILA INDOOR,1,04002,,,AIN M'LILA,عين مليلة,04,OUM EL BOUAGHI,أم البواقي,36.0413418,6.5733597
2358,H.BOUMEDIENE,1,04003,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.8760181,7.1185867
