id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,address,operator_wilaya
05-008,ESO000643,05,0545,Ain Touta,35.3748,5.90788,exact,operator_api,ooredoo,"{""ooredoo"":""1467425""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,11 R. EL HACHEMI ABDELHAK CITE 250 LOGTS,Batna
05-009,EO BATNA,05,0501,Batna,35.5486,6.17213,exact,operator_api,ooredoo,"{""ooredoo"":""1467518""}",EO,Espace Ooredoo,فضاء أوريدو,"Cité Chikhi , en face route de Biskra N 90 - Batna.",Batna
05-010,ESO000189,05,0509,N Gaous,35.5561,5.61083,exact,operator_api,ooredoo,"{""ooredoo"":""1467831""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,RTE. SETIF,Batna
06-001,ESO000181,06,0622,Aokas,36.6392,5.24194,exact,operator_api,ooredoo,"{""ooredoo"":""1422898""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. 80 LOGTS BT H N03,Bejaia
06-002,ESO000792,06,0624,Adekar,36.6941,4.67164,exact,operator_api,ooredoo,"{""ooredoo"":""1422900""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,Bat ADEKAR,Bejaia
06-003,CSO TAZMALT,06,0627,Tazmalt,36.3856,4.40056,exact,operator_api,ooredoo,"{""ooredoo"":""1422904""}",CSO,City Shop Ooredoo,متجر أوريدو,Place ex cinema Tazmelt,Bejaia
06-004,ESO000504,06,0634,Barbacha,36.5744,4.96611,exact,operator_api,ooredoo,"{""ooredoo"":""1422906""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,BARBACHA CENTRE,Bejaia
06-005,ESO000815,06,0636,Ouzellaguen,36.5396,4.6108,exact,operator_api,ooredoo,"{""ooredoo"":""1422908""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,"IGHZER AMOKRANE ,OUZELLAGUEN CENTRE",Bejaia
06-006,CSO EL KSEUR,06,0640,El Kseur,36.6886,4.85528,exact,operator_api,ooredoo,"{""ooredoo"":""1422910""}",CSO,City Shop Ooredoo,متجر أوريدو,A Côté de la salle de soins à Berchiche,Bejaia
06-007,ESO000046,06,0640,El Kseur,36.6781,4.85194,exact,operator_api,ooredoo,"{""ooredoo"":""1422912""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,10 R. BOUNEDJDAMEN LAABI,Bejaia
06-008,EO KHERRATA,06,0644,Kherrata,36.4914,5.27861,exact,operator_api,ooredoo,"{""ooredoo"":""1425507""}",EO,Espace Ooredoo,فضاء أوريدو,Rte Nationale N 9 - KHERRATA,Bejaia
06-009,ESO000194,06,0620,Darguina,36.6408,5.36444,exact,operator_api,ooredoo,"{""ooredoo"":""1425543""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,MELBOU CENTRE LOCAL N°1,Bejaia
06-010,ESO000814,06,0644,Kherrata,36.4879,5.27999,exact,operator_api,ooredoo,"{""ooredoo"":""1425545""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,185 Logts LPA logts 27 centre Kherrata,Bejaia
06-011,EO BEJAIA 2,06,0601,Bejaia,36.7525,5.07361,exact,operator_api,ooredoo,"{""ooredoo"":""1467335""}",EO,Espace Ooredoo,فضاء أوريدو,"Route Ahmed BOUMEDA, Bejaia",Bejaia
06-012,CSO SIDI AICH,06,0639,Sidi-Aich,36.6121,4.68604,exact,operator_api,ooredoo,"{""ooredoo"":""1467353""}",CSO,City Shop Ooredoo,متجر أوريدو,Avenue du 1 novembre 1954,Bejaia
06-013,ESO000155,06,0649,Tizi-N'berber,36.6536,5.19056,exact,operator_api,ooredoo,"{""ooredoo"":""1467373""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. BEN SAID,Bejaia
