id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type
historic-1093,زريبة سيدي الحاج بلقاسم ⵣⵔⵉⴱⴻⵜ ⵙⵉⴷⵉ ⵍⵃⴰⵊ ⴱⴻⵍⵇⴰⵙⵎ,Zaouiet Sidi Hadj Belkacem,زريبة سيدي الحاج بلقاسم,49,,,29.2370404,0.2013118,exact,osm,osm,"{""osm"":""751434710""}",ruins
historic-1094,Poste Maurice Cortier,,,50,,,22.3183252,1.1159638,exact,osm,osm,"{""osm"":""1165418339""}",ruins
historic-1095,Fortin au disque,,,51,,,34.4878181,5.210074,exact,osm,osm,"{""osm"":""310814818""}",ruins
historic-1096,برج الدوسن,,,51,,,34.601928,5.1072812,exact,osm,osm,"{""osm"":""385662289""}",ruins
historic-1097,El ksiba - أطلال قصر القصيبة,,,52,,,30.120416,-2.1674876,exact,osm,osm,"{""osm"":""9456604492""}",ruins
historic-1098,ksar Beni Abbes -   قصر بني عباس,,,52,,,30.123242,-2.17308,exact,osm,osm,"{""osm"":""1025678948""}",ruins
historic-1099,El Moustakbal;محلات المستقب,El Moustakbal,محلات المستقبل,54,,,19.9536029,2.9695045,exact,osm,osm,"{""osm"":""13175295301""}",ruins
historic-11,Capitolium,Capitole,,05,,,35.4834949,6.4666444,exact,osm,osm,"{""osm"":""5434295573""}",archaeological_site
historic-110,Taksebt des Ouled Said,,,35,,,36.6562714,3.7263928,exact,osm,osm,"{""osm"":""1395521035""}",archaeological_site
historic-1100,العقيلة,El Aguila,العقيلة,55,,,32.6866304,5.4755717,exact,osm,osm,"{""osm"":""369621056""}",ruins
historic-1101,القصر ، قبة اللقاني,"Le palais, le dôme de Laqani",القصر ، قبة اللقاني,55,,,32.7020538,5.4287277,exact,osm,osm,"{""osm"":""369603160""}",ruins
historic-1102,برج الحواس,,,56,,,24.8865957,8.4294133,exact,osm,osm,"{""osm"":""13351548801""}",ruins
historic-1103,مباني قديمة,,,57,,,34.2161906,5.7635754,exact,osm,osm,"{""osm"":""8429220050""}",ruins
historic-1104,مباني قديمة,,,57,,,34.216018,5.7641976,exact,osm,osm,"{""osm"":""8429220051""}",ruins
historic-1105,Apparent extent of walled ancient settlement at Henchir Bessariani,,,62,,,34.445419,7.4927751,exact,osm,osm,"{""osm"":""739855191""}",ruins
historic-1106,Camps Romain,,,62,,,34.6354478,7.4122148,exact,osm,osm,"{""osm"":""5315180603""}",ruins
historic-1107,Visible remains of roman fort at Henchir Bessariani,,,62,,,34.4449545,7.4923728,exact,osm,osm,"{""osm"":""739854261""}",ruins
historic-1108,Ouaskria,,,64,,,35.2027254,2.3034359,exact,osm,osm,"{""osm"":""3241984820""}",ruins
historic-1109,البواقة,Château d'eau,البواقة,65,,,35.4488587,2.9039227,exact,osm,osm,"{""osm"":""5075513537""}",ruins
historic-111,حصن الامير عبد القادر,,حصن الامير عبد القادر,38,,,35.8655227,2.2807736,exact,osm,osm,"{""osm"":""259354485""}",archaeological_site
historic-1110,Chateau Ziride d'Achir,,,67,,,35.9276643,3.2935029,exact,osm,osm,"{""osm"":""453662333""}",ruins
historic-1111,"École de garçons du Vieux-Ténès, مدرسة الذكور",École de garçons du Vieux-Ténès,مدرسة الذكور,02,,,36.5002922,1.3138962,exact,osm,osm,"{""osm"":""13439646175""}",school
historic-1112,مفترق طرق,,,64,,,34.7043494,2.4055941,exact,osm,osm,"{""osm"":""12685692276""}",technical_monument
historic-1113,Cathedrale,,,05,,,35.4863974,6.465826,exact,osm,osm,"{""osm"":""5433761834""}",temple
historic-1114,"Sidi Bouras, سيدي بوراس",Sidi Bouras,سيدي بوراس,02,,,36.5001808,1.3136826,exact,osm,osm,"{""osm"":""1465515671""}",tomb
historic-1115,Sidi Hakkoum,,,03,,,33.809786,2.8926276,exact,osm,osm,"{""osm"":""43763360""}",tomb
historic-1116,قبر بلقطيف,,,03,,,32.837358,2.4708531,exact,osm,osm,"{""osm"":""13721791801""}",tomb
historic-1117,Imma Tadrart,,يما ثاذرارث,06,,,36.6408304,5.2322347,exact,osm,osm,"{""osm"":""436647820""}",tomb
historic-1118,Mausolée Sidi Younes,,,06,,,36.5387269,4.586552,exact,osm,osm,"{""osm"":""5636072039""}",tomb
historic-1119,Mausolée de Sidi Aïssa,Mausolée de Sidi Aïssa,ضريح سيدي عيسى,06,,,36.7667519,5.1040556,exact,osm,osm,"{""osm"":""424799508""}",tomb
historic-112,Ksar Baghai,,,40,,,35.5355503,7.1182448,exact,osm,osm,"{""osm"":""265150241""}",archaeological_site
historic-1120,Mausolée de Yemma Timezrite,,,06,,,36.6074243,4.7673448,exact,osm,osm,"{""osm"":""4289707165""}",tomb
historic-1121,Mqam Sidi Younes,,,06,,,36.5383806,4.586553,exact,osm,osm,"{""osm"":""5636073674""}",tomb
historic-1122,Sidi Bouali,Sidi Bouali,سيدي بوعلي,06,,,36.7597434,5.0912482,exact,osm,osm,"{""osm"":""485194580""}",tomb
historic-1123,Qobat Sidi Abdellah,,,09,,,36.6436139,2.8472391,exact,osm,osm,"{""osm"":""1594818852""}",tomb
historic-1124,Tombeau de Sidi Ahmed El Kebir,Tombeau de Sidi Ahmed El Kebir,ضريح سيدي أحمد الكبير,09,,,36.4466521,2.8397784,exact,osm,osm,"{""osm"":""3811530464""}",tomb
historic-1125,Tombeau du marabout Moulay Hassan,,,11,,,24.7083794,4.6534215,exact,osm,osm,"{""osm"":""496884974""}",tomb
historic-1126,مرتتك,Mertoutek,مرتتك,11,,,24.2164814,5.5669426,exact,osm,osm,"{""osm"":""7703802637""}",tomb
historic-1127,Marabout,,,13,,,35.2143505,-1.6226389,exact,osm,osm,"{""osm"":""3686941834""}",tomb
historic-1128,Mausolée de Princesse - ضريح الأميرة -ⵜⴰⵎⴹⴰⵍⵜ ⵏ ⵜⴰⴳⵍⴷⵓⵏⵜ,Mausolée de Princesse,,13,,,34.8863632,-1.2981441,exact,osm,osm,"{""osm"":""5054966802""}",tomb
historic-1129,Mausolée de Sidi Yakoub - ضريح سيدي يعقوب -ⵜⴰⵎⴹⴰⵍⵜ ⵏ ⵙⵉⴷⵉ ⵢⴰⵄⵇⵓⴱ,Mausolée de Sidi Yakoub,,13,,,34.8863797,-1.2986886,exact,osm,osm,"{""osm"":""5054966801""}",tomb
historic-113,حمام الصالحين ⵃⴻⵎⵎⴰⵎ ⵚⴰⵍⵃⵉⵏ,Hammam Essalihine,حمام الصالحين,40,,,35.4401595,7.0846943,exact,osm,osm,"{""osm"":""2662646762""}",archaeological_site
historic-1130,Tombe de Messali El-Hadj,Tombe de Messali El Hadj,,13,,,34.8791714,-1.3005375,exact,osm,osm,"{""osm"":""10008484048""}",tomb
historic-1131,Tombeau de Sidi Boumediéne ضريح سيدي بومدين,Tombeau de Sidi Boumediéne,ضريح سيدي بومدين,13,,,34.8779521,-1.2897675,exact,osm,osm,"{""osm"":""9997775417""}",tomb
historic-1132,ضريح لآلة ستي,Tombeau Lalla Setti,ضريح لآلة ستي,13,,,34.8671496,-1.3230064,exact,osm,osm,"{""osm"":""1091869570""}",tomb
historic-1133,ضريح مولاي عبد القادر,,ضريح مولاي عبد القادر,13,,,34.8772458,-1.2925921,exact,osm,osm,"{""osm"":""1091631807""}",tomb
historic-1134,مقام سيدنا يوشع,Mausolée de Sidna Youchaa,مقام سيدنا يوشع,13,,,35.1163877,-1.7805413,exact,osm,osm,"{""osm"":""1524182618""}",tomb
historic-1135,Amṛaveḍ Muḥ,,,15,,,36.6078334,4.107298,exact,osm,osm,"{""osm"":""5023179068""}",tomb
historic-1136,Aẓẓekka n LWENAS MATUB,,,15,,,36.618268,4.1199754,exact,osm,osm,"{""osm"":""5023179166""}",tomb
historic-1137,"Aẓẓekka n Umyaru Dda Racid Allic ""At Mussa""",,,15,,,36.6077501,4.1095578,exact,osm,osm,"{""osm"":""5023200927""}",tomb
historic-1138,Jeddi Wejjriw Amɣaṛ,,,15,,,36.6080383,4.1070607,exact,osm,osm,"{""osm"":""5023179236""}",tomb
historic-1139,Tajjebant n Tizi Asker-Cimetière,,,15,,,36.6079313,4.1096926,exact,osm,osm,"{""osm"":""5023179186""}",tomb
historic-114,قصرالجازية - Mausolée de Cedias,Mausolée de Cédias,,40,,,35.3222656,7.2349306,exact,osm,osm,"{""osm"":""318626658""}",archaeological_site
historic-1140,Tajjebant n Tizi Asker-Cimetière,,,15,,,36.6084852,4.1091444,exact,osm,osm,"{""osm"":""5031202157""}",tomb
historic-1141,زاوية سيدي بهلول,,زاوية سيدي بهلول,15,,,36.7189883,4.3756708,exact,osm,osm,"{""osm"":""6654120889""}",tomb
historic-1142,Maqam Abd al-Rahman al-Tha'alibi,,,16,,,36.7882365,3.0593638,exact,osm,osm,"{""osm"":""11940681506""}",tomb
historic-1143,قبر شهيد,,قبر شهيد,16,,,36.7729796,3.0270434,exact,osm,osm,"{""osm"":""264441036""}",tomb
historic-1144,مقام سيدي عبدالرحمان,,,16,,,36.7882951,3.059509,exact,osm,osm,"{""osm"":""1287518931""}",tomb
historic-1145,Tombeau de Massinissa,Tombeau de Massinissa,ضريح ماسينيسا,25,,,36.2721943,6.725097,exact,osm,osm,"{""osm"":""2476104378""}",tomb
historic-1146,Mausolée Bey Bouchelaghem,Mausolée Bey Bouchelaghem,ضريح الباي بوشلاغم,27,,,35.9330997,0.0947749,exact,osm,osm,"{""osm"":""5621744588""}",tomb
historic-1147,Mausolée Sidi Abdallah,,,27,,,35.9323862,0.0928581,exact,osm,osm,"{""osm"":""503054185""}",tomb
historic-1148,Mausolée de Sidi Said,,,27,,,35.9307813,0.0908143,exact,osm,osm,"{""osm"":""498052533""}",tomb
historic-1149,Sidi Lakhdar Ben Khlouf,Sidi Lakhdar Ben Khlouf,سيدي لخضر بن خلوف,27,,,36.1438081,0.4604624,exact,osm,osm,"{""osm"":""367499544""}",tomb
historic-115,Ancient Roman theater in Khamissa,,,41,,,36.1937048,7.6559214,exact,osm,osm,"{""osm"":""1321739924""}",archaeological_site
historic-1150,Mausolée Sidi Daho,,ضريح سيدي دحو,29,,,35.4419689,0.1696166,exact,osm,osm,"{""osm"":""545794909""}",tomb
historic-1151,مقام الولي الصالح سيداحمد بن علي,,مقام الولي الصالح سيداحمد بن علي,29,,,35.3438416,0.1972413,exact,osm,osm,"{""osm"":""5608127821""}",tomb
historic-1152,مقام الولي الصالح سيدي عبد القادر الجيلاني,,مقام الولي الصالح سيدي عبد القادر الجيلاني,29,,,35.4166303,0.3304278,exact,osm,osm,"{""osm"":""5666568721""}",tomb
historic-1153,ضريح,Mausolée,ضريح,30,,,31.9645176,5.3367438,exact,osm,osm,"{""osm"":""3884401951""}",tomb
historic-1154,قبة سيدي برجال,Dôme Sidi Berdjal,قبة سيدي برجال,30,,,31.9640395,5.2752262,exact,osm,osm,"{""osm"":""592020798""}",tomb
historic-1155,مقام سيدي منصور,Tombeau de Sidi Mansour,,31,,,35.7946277,-0.0934596,exact,osm,osm,"{""osm"":""4889861978""}",tomb
historic-1156,سيدي علي بن سعيد,,سيدي علي بن سعيد,32,,,33.3810979,1.1953774,exact,osm,osm,"{""osm"":""9997708624""}",tomb
historic-1157,Caveau punique,Caveau Punique,,42,,,36.5938013,2.4508857,exact,osm,osm,"{""osm"":""543583831""}",tomb
historic-1158,Mausolée Royal de Maurétanie الضريح الملكي الموريطاني,Mausolée Royal de Maurétanie,الضريح الملكي الموريطاني,42,,,36.574971,2.5527945,exact,osm,osm,"{""osm"":""243563008""}",tomb
historic-1159,Mausolée Sid-Ali Ferki,Mausolée Sid-Ali Ferki,ضريح سيدعلي فركي,42,,,36.6111532,2.1880807,exact,osm,osm,"{""osm"":""489554575""}",tomb
historic-116,Forum Novum,,,41,,,36.1919041,7.6539647,exact,osm,osm,"{""osm"":""1321756093""}",archaeological_site
historic-1160,Mausolée Sidi Brahem,Mausolée Sidi Brahem,ضريح سيدي براهم,42,,,36.6095388,2.195965,exact,osm,osm,"{""osm"":""448438834""}",tomb
historic-1161,Sidi Bou- Djemlin,,,43,,,36.2046961,6.3340715,exact,osm,osm,"{""osm"":""5252207662""}",tomb
historic-1162,Memorial of Martyr Bou Gueroumi نصب تذكاري الشهيد بوقرومي,,نصب تذكاري الشهيد بوقرومي,44,,,36.3997288,2.2408622,exact,osm,osm,"{""osm"":""10991629921""}",tomb
historic-1163,Sidi Abdeka,,,44,,,36.3090377,2.1801362,exact,osm,osm,"{""osm"":""308579205""}",tomb
historic-1164,Sidi Belgacem,,سيدي بلقاسم,44,,,36.3044649,2.2279172,exact,osm,osm,"{""osm"":""308418146""}",tomb
historic-1165,Mausolée Sidi Brahim,Mausolée Sidi Brahim,ضريح آمي ابراهيم,47,,,32.4736489,3.7448504,exact,osm,osm,"{""osm"":""4805793122""}",tomb
historic-1166,قبة سيدي بنور,Mausolée Sidi Bennour,,47,,,32.5860873,3.3332173,exact,osm,osm,"{""osm"":""10728365082""}",tomb
historic-1167,KANACHE el Hadj Adda,,,48,,,36.140254,0.7850732,exact,osm,osm,"{""osm"":""588427818""}",tomb
historic-1168,ضريح المرابط سيدي عمارة,Tombeau du marabout Sidi Amara,ضريح المرابط سيدي عمارة,48,,,35.8665556,1.1207252,exact,osm,osm,"{""osm"":""3352114631""}",tomb
historic-1169,قبر سيدي يحيى,,قبر سيدي يحيى,48,,,35.6905432,0.6961898,exact,osm,osm,"{""osm"":""799417138""}",tomb
historic-117,Madauros Theatre,,,41,,,36.0778831,7.9014802,exact,osm,osm,"{""osm"":""284087760""}",archaeological_site
